userName,content,score,sentimen
Mas aGus supar Mas aGus supar,man akadukum yusholimu a'laa dhad mas aGus supar siup,1,negatif
Jody Aditya,"APLIKASI RIBET AMAT, ANGGARAN NYA KURANG APA GIMANA SIH?",1,negatif
Muhammad Ripay,biaya admin terlalu besar ditambah loading saat top up,1,negatif
Septinella Putri Edelweis,"wah bermasalah ini kai pay 2x top up gak masuk, padahal saldo berkurang, chat wa lama, dm ig ga dibales",1,negatif
kartika tika,buruk,1,negatif
Abdurrahman Nurhakim,"Update aplikasi palah makin kacau. Saya ngga bisa keluar ini dari stasiun KRL, gara2 pesen tiket KRL via KAI. Kapok dah isi saldo KAI Bug-nya ada di perpindahan hari. Kalo saya pesan dan masuk jam 22 kemudian keluar di jam 00:11, si gate out-nya ilang. Buat developer kalo bisa diperbaiki, soalnya kalo berganti hari, tiket tidak berlaku. Ngitungnya berdasarkan nilai EPOCH kan bisa. Kacau2",1,negatif
Novian Eka,"naik singasari kecewa bgt, harganya sama2 mahal tp gak bisa buka storller untuk bayi, bangku nya terlalu sempit padahal pake fajar Utama bisa tuh buka stroller",1,negatif
Wizard 123,kok setelah update malah g bisa login,1,negatif
Waljiah Waljiah,"saya kecewa dengan aplikasi ini karena sy pesan tiket kereta Erlangga dari stasiun pasar Senen tujuan stasiun Weleri dan pembayaran melalui KAI pay sebesar 208 ribu, setelah saya pesan dan melakukan pembayaran setelah pilih nomor kursi tetapi tiket tidak ter update padahal saldo di KAI pay sudah berkurang sebesar 208 ribu,dan saldo tidak bisa kembali/masuk lagi ke KAIpay.tolong untuk pihak KAI access mohon di cek dan teliti untuk pelayanan nya terimakasih",1,negatif
wisma meylia,otp nggk valid terusss pdhl wkt msih bbrpa detik dikirimnya,1,negatif
Lina Siti NurLina,Gimana si mau batalin tiketnya eh uangnya juga ikutan lenyap uangnya gimana nih 150rb ga sedikit menurut aku😭😭,1,negatif
BANG ACUY,saya merasa puad dengan layanan ini,1,positif
Hera Herawaty,"kenapa yaa tiket nya sllu ga muncul padhal saya udh bayar dan kejadian seperti ini sllu keulang,tolong dong apk nya di benerin lgi klo seperti ini trs²an bisa rugi jugaa saya sebagai pengguna nya,setiap mesen tiket sllu gini dan al hasil klo tiket g muncul saya mau mesen tiket di jam yg sama lagi ga bisaa,jdi susah klo gini trs klo mau bepergian pke kai,sekedar ulasan trimakasi🙏🙏",1,negatif
Pria Mature,apk nya masih sering error. Sudah payment dan saldo bank terpotong tapi tiket masih status menunggu pembayaran. terpaksa beli lagi. mohon diperbaiki sistem errornya.,1,negatif
Dk Nopal,"aplikasi scam, tiket dah di bayar dan saldo terpotong, tapi di apps nya ga terbayar dan dicancel, bukannya bantu malah nipu :v",1,negatif
alex setiawan,Error mulu hari ini,1,negatif
Aditia Saputra,"udah bayar qr malah tiket gak keluar2, mau report cs semua medsos gaada yg bales,. apaan dah pelayanan ampas👎",1,negatif
cecak gabut,"Terdapat masalah ""Request processing failed; nested exception is java.lang.NullPointerException"". Sebelumnya pernah pesan tiket tapi telat membayar sehingga masa pemesanan hangus. Sekarang mau pesan lagi tapi malah dapat masalah seperti itu. Tolong solusinya🙏.",1,negatif
Mamed Official,Show QR nya mending gausah ada repotin gabisa dipake,1,negatif
Josua Lumban Gaol,"aplikasi rusak, fetch data mulu",1,negatif
Monyet Cmss,nyesel beli tiket udah di bayar tiketnya nga masuk ke aplikasi padahal ssan pembayaran tiketnya ada y untung beli yang murah mau ngehubungin pusat bantun susahnya kek ngehubungin presiden jadi males pakenya nga wortit,1,negatif
Noer Ichya,"Pesan tiket,pembayaran lewat ovo...tiketnya batal biayanya tetap dan terpotong,ga balik pula...parah,gini bgt ambil 5rb nya KAI",1,negatif
Muhamad Syafiq Azkiya,"tidak bisa upgrade ke member basic, pdhl sudah isi persyaratan dengan benar. gtau apk nge bug apa gmna tolong segera diperbaiki.saya mau ubah jadwal jadi harus ke stasiun 🥲",1,negatif
andre wilis,ok mantap,1,positif
Alfian Tri Wibowo,mau reschedule ga ada tulisan kelola tiket,1,negatif
Deddy Ponsel,"apk parah saldo gabalik lg, mana kalo top up isinya 7000 parah parah",1,negatif
18. Nia Dewi,gabisa bayar pake ovo njir,1,negatif
Hartanto,bikinan plat merah selalu eror...,1,negatif
danang trido,buat beli tiket comuter error terus,1,negatif
Asep Saputra,"gagal bayar saldo tpi di ambil,sampai sekarang tidak ada tindak lanjut baik lewat email,tlp,wa",1,negatif
Din,harga. mahal,1,negatif
Levi Adi candra,tolong di perbaiki lagi apknya tengkyu,1,negatif
Noor Nabhan II,apk sangat buruk,1,negatif
Retno Dwi,setiap mau pesen tgl yg paling update selalu aja jadwal tidak di temukan,1,negatif
Satrio,jelek,1,negatif
Mukhtar Alrosyid,cari jadwal gak ditemukan. sekali ketemu malah habis. siapa yg beli jg klo buka apk'y gak bisa mulu. tambah gak jelas aja ni aplikasi,1,negatif
Dazai _Osama,"scam aplikasi rusak, gua udah bayar tiket di cek ga bisa di buka, ada tulisan tertera tidak mempnyai tiket",1,negatif
asna djaf,"mengecewakan, topup kaipay masuknya setelah nyaris 3hari, saldo kadang muncul kadang hilang, diminta untuk aktivasi lagi.. pemesanan makanannya jg lama bgt aplikasi bukannya mempermudah dan malah jadi lama n ribet, pesen makanan nyampe nya lebih dari 1 jam.. alasan nya ga masuk akal, katanya pesanan sdh di antarkan, anter kmn? kita pesen kan ada bukti smuanya..no order, tiket, nama, seat dll, emang nganter pesanan diem2 aja? ga nany ke penumpangnya? pesen ga? atau liat kek no seat/tiket nya🤦‍♀",1,negatif
Fajar Nugraha,"teu baleg, aplikasi error terus saldo kepotong tapi tiket eweuh",1,negatif
Bayu Aqni,ayolah pihak KAI !!!! benahi lemotnya aplikasi yang sering error ini . commuter juga ada yang bisa pesan tempat duduk dan ada yang tidak . harusnya kalau tempat duduk sudah habis tidak usah dijual tiketnya . buruk sekali manajemen nya,1,negatif
Faiza Balqis,"jelek. lola, signal jelek dikit gakbisa!! terus aku top up 10k yang masuk cuman 8k.. potongannya banyak, belum admin tf ke banknya!! mohon aplikasi lokal seperti KAI ini diperbaiki lagi!!!",1,negatif
Daniel S,kak ini fitur kelola tiketnya hilang kemana ya,1,negatif
Nadya Riyasafitri,halah ngerampas duit doang. tiket gak dikasih. cuih. udah terbayar eh tiketnya gak muncul. basi loe KAI!,1,negatif
Zenita Shafa,"HADUHHHH KNP SIHHHH APK NYA SEKARANG JD LEMOT GINI, TIKET GA MUNCUL LAHH, TIME OUT LAHH APALAHHH, SBG ANAK KULIAH DIRANTAU SGT BERGANTUNG SM KA LOKALL TP KNP SEKARANG JADI BIKIN MALES GINI YAAA. KEMARIN KAMIS PESAN TIKET KA LOKAL UDAH SUKSES PAYMENT TP TIKET GA MUNCUL ALHASIL HARUS KE STASIUN PEMBERANGKATAN UNTUK CETAK TIKET DAM TIKET MAKS CETAK H-3 JAM, KOK RIBET GINI SIHHH, GUNANYA ADA APK TUH HARUSNYA BIAR MEMPERMUDAH YAA BUKAN MEMPERSULIT KY GINII, PERBAIKIN LAGI DEH SISTEM APK NYA KAI",1,negatif
diana sf,"pesen tiket di jam 12 malam biar kebagian tempat duduk, pembayaran udah berhasil tiket malah ga muncul. udah chat ke semua cs di wa, ig, x, sampe tlp di apk ga ada tanggepan sampe sejam kemudian malah pembayaran gagal dan saldo ga masuk lagi. padahal kereta transportasi paling oke menurutku, tp pelayanannya jelek banget.",1,negatif
Diva Inggrid,"minus banget sistemnya, habis diupdate malah kurenggg, dari awal cek jadwal lemot ga tersedia, waktu input daftar penumpang juga lemot, pas pembayaran timeout trus padahal sinyal lagi bagus bangetttt, dan yg paling bikin kesel waktu ada notif gabisa pesen lebih dari 15x transaksi per hari padahal aku daritadi gabisa pesen dan aku udh nyoba pesen selalu gagal dari sistemnya, ihhhhhh bikin kesellll",1,negatif
26.Rachmalia Zahwagarnisa,"aplikasi busuk, benerin dong jangan nyusahin pengguna, lag mulu perasaan heran... war tiket udah berhasil bayar dan motong saldo tapi tiketnya ga ada",1,negatif
YooBEL 16,ngebug terus,1,negatif
